variable,class,n_nonmissing,pct_nonmissing,example_values
uniquerespid,character,93101,100,"FI005725, 25000006063, IT068-023-Z1, 15015000200, ES012978"
wave,numeric,93101,100,"6, 5, 8, 3, 1"
year,numeric,93101,100,"2015, 2010, 2024, 2000, 1991"
country,numeric,12158,13.1,"15, 5, 26, 20, 16"
country_code,character,93101,100,"FI, IT, LU, ES, EL"
samplingpointid,character,29800,32,"FI192, IT068, ES0526, HU074, EE518"
ISCO_1,numeric,47459,51,"0, 1, 2, 3, 4"
ISCO_2,numeric,47459,51,"0.1, 0.2, 0.3, 0, 11"
NACE0_lbl,character,47234,50.7,"Public administration, Other services, Education, Construction, Transport"
NACE1,character,47234,50.7,"O, S, M, N, P"
NACE_2,numeric,47234,50.7,"84, 96, 72, 80, 85"
number_jobs_trend,numeric,76145,81.8,"1, 2"
regular_other_job_trend,numeric,5840,6.3,"1, 2"
employee_selfdeclared,numeric,84864,91.2,"1, 2"
paid_salary,numeric,139,0.1,"2, 1"
hire_dismiss,numeric,4961,5.3,"1, 2"
paid_weeklymonthly,numeric,4993,5.4,"1, 2"
selfemp_withemployees,numeric,7116,7.6,"1, 2"
empl_contract,numeric,51029,54.8,"1, 2, 5, 3, 4"
seniority,numeric,85354,91.7,"11, 12, 19, 0, 20"
change_employment,numeric,28409,30.5,"4, 3, 2, 1, 5"
num_supervising,numeric,61148,65.7,"4, 0, 50, 8, 30"
usual_days,numeric,58782,63.1,"5, 7, 6, 3, 2"
vibration,numeric,86082,92.5,"7, 3, 6, 5, 4"
noise,numeric,92839,99.7,"6, 7, 3, 5, 4"
hightemp,numeric,86059,92.4,"6, 7, 4, 5, 1"
lowtemp,numeric,86003,92.4,"5, 6, 7, 3, 2"
smoke,numeric,86061,92.4,"6, 7, 5, 2, 3"
vapour,numeric,59340,63.7,"6, 7, 5, 1, 4"
chemicals,numeric,86015,92.4,"6, 7, 4, 5, 1"
infect,numeric,59313,63.7,"7, 6, 5, 1, 4"
tiring_positions,numeric,92698,99.6,"7, 6, 2, 5, 4"
lifting,numeric,59382,63.8,"7, 3, 6, 5, 4"
heavy_loads,numeric,92813,99.7,"6, 4, 7, 5, 2"
sitting,numeric,29744,31.9,"2, 5, 4, 3, 7"
rep_movements,numeric,85964,92.3,"6, 2, 4, 7, 1"
dealing_customers,numeric,86049,92.4,"5, 4, 6, 7, 1"
angry_clients,numeric,47355,50.9,"6, 7, 1, 5, 3"
emot_disturb,numeric,29660,31.9,"2, 6, 7, 5, 3"
computer,numeric,92747,99.6,"6, 1, 2, 7, 3"
osh_informed,numeric,86931,93.4,"1, 2, 3, 4"
night,numeric,85271,91.6,"0, 5, 2, 4, 8"
longday,numeric,74393,79.9,"3, 0, 8, 5, 2"
norest,numeric,29505,31.7,"2, 1"
same_hours_day,numeric,76075,81.7,"2, 1"
same_days_week,numeric,76099,81.7,"1, 2"
same_hours_week,numeric,47348,50.9,"2, 1"
fixed_startfinish,numeric,85745,92.1,"2, 1"
shift,numeric,92402,99.2,"2, 1"
shift_type,numeric,15254,16.4,"3, 2, 1, 4"
wt_arrangements,numeric,59118,63.5,"4, 3, 2, 1"
work_life_balance,numeric,76099,81.7,"3, 2, 1, 4"
wlb_worry,numeric,29546,31.7,"2, 3, 4, 5, 1"
wlb_tired,numeric,29505,31.7,"3, 4, 5, 2, 1"
wlb_timefamily,numeric,29168,31.3,"4, 3, 2, 5, 1"
wlb_concentrate,numeric,29072,31.2,"5, 4, 3, 2, 1"
freetime_work,numeric,46681,50.1,"4, 5, 3, 1, 2"
able_hour_off,numeric,46768,50.2,"1, 2, 3, 4"
reptasks_1minute,numeric,74790,80.3,"2, 1"
reptasks_10minute,numeric,84458,90.7,"2, 1"
highspeed,numeric,92331,99.2,"3, 5, 2, 6, 7"
tightdead,numeric,92108,98.9,"3, 6, 2, 5, 7"
pace_colleagues,numeric,84390,90.6,"2, 1"
pace_cust,numeric,85183,91.5,"2, 1"
pace_targets,numeric,83632,89.8,"1, 2"
pace_machine,numeric,83951,90.2,"2, 1"
pace_boss,numeric,82776,88.9,"2, 1"
interrupt,numeric,61424,66,"3, 2, 4, 1"
interrupt_disrupt,numeric,47270,50.8,"2, 1, 3"
qual_standards,numeric,84623,90.9,"1, 2"
assess_qual,numeric,84806,91.1,"1, 2"
unforeseen_problems,numeric,85520,91.9,"1, 2"
monotasks,numeric,85244,91.6,"2, 1"
complex_tasks,numeric,85114,91.4,"1, 2"
learning_new_things,numeric,85481,91.8,"1, 2"
team,numeric,75592,81.2,"1, 2"
team_same,numeric,28290,30.4,"2, 1"
team_aut_task,numeric,35093,37.7,"2, 1"
team_aut_head,numeric,34645,37.2,"2, 1"
team_aut_time,numeric,28056,30.1,"2, 1"
support_colleagues,numeric,54000,58,"1, 2, 4, 3, 5"
support_manager,numeric,51622,55.4,"2, 1, 3, 4, 5"
consulted,numeric,42461,45.6,"2, 1, 4, 5, 3"
improv_workorg,numeric,43602,46.8,"1, 2, 4, 3, 5"
choice_partners,numeric,54800,58.9,"1, 4, 5, 3, 2"
take_break,numeric,59112,63.5,"2, 3, 5, 1, 4"
enough_time,numeric,59086,63.5,"3, 2, 5, 1, 4"
work_welldone,numeric,59042,63.4,"3, 2, 1, 4, 5"
apply_ideas,numeric,58851,63.2,"2, 4, 3, 1, 5"
useful_work,numeric,59053,63.4,"2, 1, 3, 4, 5"
fair_treatment,numeric,25907,27.8,"1, 2, 5, 3, 4"
stress,numeric,47262,50.8,"3, 1, 5, 2, 4"
decision_influence,numeric,46736,50.2,"1, 2, 4, 3, 5"
hide_feelings,numeric,46443,49.9,"1, 5, 2, 4, 3"
boss_gender,numeric,73984,79.5,"1, 2, 3"
boss_respect,numeric,25489,27.4,"1, 2, 4, 3, 5"
boss_cooperation,numeric,25109,27,"2, 1, 4, 3, 5"
boss_feedback,numeric,25399,27.3,"1, 3, 2, 4, 5"
boss_development,numeric,25356,27.2,"3, 2, 1, 4, 5"
skills_match,numeric,58815,63.2,"2, 1, 3"
wp_mantrustemp,numeric,25612,27.5,"1, 3, 2, 4, 5"
wp_conflicts,numeric,25026,26.9,"2, 1, 5, 4, 3"
trade_union,numeric,24687,26.5,"1, 2"
osh_delegate,numeric,24282,26.1,"1, 2"
meeting,numeric,25434,27.3,"1, 2"
discrimination_trend,numeric,86132,92.5,"1, 2"
dis_age,numeric,86026,92.4,"2, 1"
dis_ethnic,numeric,86005,92.4,"2, 1"
dis_nation,numeric,85979,92.4,"2, 1"
dis_gender,numeric,86024,92.4,"2, 1"
dis_religion,numeric,59277,63.7,"2, 1"
dis_disability,numeric,86007,92.4,"1, 2"
dis_sex_orient,numeric,76210,81.9,"1, 2"
osh_risk,numeric,90615,97.3,"2, 1"
work_affect_health,numeric,45840,49.2,"1, 3, 2"
selfrated_health,numeric,47480,51,"1, 2, 3, 4, 5"
chronic_illness,numeric,29665,31.9,"2, 1"
health_backache,numeric,47435,51,"2, 1"
health_musc_upper,numeric,47432,50.9,"2, 1"
health_musc_lower,numeric,47405,50.9,"1, 2"
health_headaches,numeric,47380,50.9,"1, 2"
health_anxiety,numeric,47345,50.9,"2, 1"
health_other,numeric,47100,50.6,"2, 1"
asb_verbal,numeric,47351,50.9,"2, 1"
asb_unwanted_sexatt,numeric,86042,92.4,"2, 1"
asb_threats,numeric,29668,31.9,"2, 1"
asb_humil,numeric,29655,31.9,"2, 1"
asb_violence,numeric,47435,51,"2, 1"
asb_sexharass,numeric,47407,50.9,"2, 1"
asb_bully,numeric,59307,63.7,"2, 1"
absent_days,numeric,56615,60.8,"0, 5, 3, 150, 9"
presenteeism,numeric,43475,46.7,"1, 2"
who5_cheerful,numeric,47401,50.9,"2, 4, 1, 3, 5"
who5_relaxed,numeric,47379,50.9,"2, 4, 1, 6, 5"
who5_active,numeric,47380,50.9,"2, 1, 3, 6, 5"
who5_rested,numeric,47393,50.9,"6, 3, 5, 1, 2"
who5_interesting,numeric,47328,50.8,"2, 1, 3, 4, 5"
er_balance,numeric,58630,63,"1, 3, 4, 2, 5"
prospects,numeric,57236,61.5,"1, 3, 2, 5, 4"
recognition,numeric,29167,31.3,"2, 3, 1, 5, 4"
org_motivates,numeric,45036,48.4,"2, 1, 5, 4, 3"
losejob,numeric,54729,58.8,"5, 4, 3, 2, 1"
eng_energy,numeric,29725,31.9,"2, 3, 1, 4, 5"
eng_enthusiastic,numeric,29696,31.9,"2, 1, 3, 4, 5"
eng_timeflies,numeric,29732,31.9,"2, 4, 1, 3, 5"
exhaust_phys,numeric,12142,13,"2, 4, 5, 1, 3"
important_decisions,numeric,3510,3.8,"2, 3, 1, 5, 4"
time_care_children,numeric,65746,70.6,"1, 2, 5, 4, 3"
time_do_housework,numeric,75999,81.6,"3, 1, 4, 2, 5"
time_care_relatives,numeric,67286,72.3,"5, 2, 3, 4, 1"
breadwinner,numeric,61102,65.6,"1, 2, 3"
make_ends_meet,numeric,46970,50.5,"3, 2, 1, 4, 5"
earn_basicwage,numeric,75220,80.8,"1, 2"
earn_overtime,numeric,74896,80.4,"1, 2"
earn_perf_team,numeric,65034,69.9,"2, 1"
earn_perf_company,numeric,54412,58.4,"2, 1"
earn_shares,numeric,54427,58.5,"2, 1"
earn_benefits,numeric,52820,56.7,"1, 2"
prop_rev_client,numeric,4423,4.8,"3, 2, 1"
wp_emptrustman,numeric,10524,11.3,"2, 1, 3, 4, 5"
exhaustion,numeric,29739,31.9,"3, 2, 5, 4, 1"
usual_hours_2ndjob,numeric,2407,2.6,"48, 10, 12, 15, 24"
preferred_hours,numeric,45485,48.9,"40, 38, 60, 8, 30"
usual_hours_main,numeric,91351,98.1,"38, 40, 65, 8, 39"
usual_hours_tot_trend,numeric,74901,80.5,"38, 40, 65, 8, 39"
commute_time_trend,numeric,79645,85.5,"50, 60, 120, 40, 15"
wt_arrangements_change_trend,numeric,39603,42.5,"4, 1, 2, 3, 5"
chron_illness_limited_6month_trend,numeric,4135,4.4,"3, 2, 1"
contract_duration_trend,numeric,7476,8,"48, 60, 144, 36, 5"
representation_trend,numeric,0,0,(all NA)
parttime_trend,numeric,50160,53.9,"2, 1"
employee_routed,numeric,85028,91.3,"1, 2"
all_born_in_country,character,47447,51,"1, 2"
resp_born_in_country,character,5129,5.5,"1, 2"
EU11_1990,numeric,93101,100,"0, 1"
EU14_1995,numeric,93101,100,"1, 0"
EU26_2000,numeric,93101,100,"1, 0"
EU27_2005,numeric,93101,100,"1, 0"
EEA,numeric,93101,100,0
IPA3_2010,numeric,93101,100,0
IPA6_2021,numeric,93101,100,0
DEGURBA,numeric,29800,32,"3, 2, 1"
age,numeric,93101,100,"34, 40, 42, 19, 31"
age4_estat,numeric,0,0,(all NA)
sex2,numeric,93077,100,"1, 2"
hh_numchild,numeric,59516,63.9,"1, 0, 2, 3, 4"
hh_numchild_lt6,numeric,59516,63.9,"1, 0, 3, 2, 4"
hh_numchild_ge6,numeric,56669,60.9,"0, 1, 2, 3, 4"
hh_numadult,numeric,59456,63.9,"2, 3, 1, 4, 6"
hh_child_youngest,numeric,0,0,(all NA)
hh_num_worker,numeric,59456,63.9,"1, 2, 3, 0, 6"
hh_partimeworkers,numeric,22705,24.4,"0, 1, 3, 2, 4"
hh_fulltimeworkers,numeric,27778,29.8,"1, 2, 0, 3, 4"
hh_num_unemployed,numeric,59516,63.9,"0, 1, 2, 3, 4"
hh_num_education,numeric,59516,63.9,"0, 1, 2, 3, 4"
hh_num_other,numeric,59516,63.9,"0, 2, 1, 3, 4"
hh_size_actual,numeric,92952,99.8,"3, 4, 2, 1, 5"
hhsize_cat,numeric,92952,99.8,"3, 4, 2, 1, 5"
engagement,numeric,29760,32,"75, 50, 100, 83.3333333333333, 58.3333333333333"
engagement_cat,numeric,0,0,(all NA)
wellbeing,numeric,47483,51,"64, 80, 40, 92, 100"
wellbeing_cat,numeric,47483,51,"3, 2, 1"
usual_hours_main_6cat,numeric,91351,98.1,"4, 6, 2, 5, 1"
usual_hours_tot_6cat,numeric,74901,80.5,"4, 6, 2, 5, 1"
hours_usual_v_preferred,numeric,45136,48.5,"2, 1, 3"
breadwinner_sex,numeric,0,0,(all NA)
breadwinner_share,numeric,0,0,(all NA)
breadwinner_parttime_trend,numeric,0,0,(all NA)
seniority_4cats,numeric,85354,91.7,"4, 1, 3, 2"
pace_determinants,numeric,86320,92.7,"1, 3, 2, 0, 5"
interrupt_2cat,numeric,0,0,(all NA)
disruptive_interruptions,numeric,0,0,(all NA)
ESEC,numeric,39180,42.1,"3, 2, 6, 1, 4"
ESEG,numeric,46949,50.4,"11, 3, 6, 8, 1"
isced,numeric,29706,31.9,"7, 8, 4, 3, 5"
edu3,character,29706,31.9,"5+ high, 3-4 mid, 0-2 low"
edu4,character,29706,31.9,"7+ post-grad, 3-4 mid, 5-6 grad, 0-2 low"
edu5,character,29706,31.9,"7+ post-grad, 4-5 tertiary, 3 secondary, 6 bachelor, 0-2 primary"
bdwn_sex2,numeric,93077,100,"1, 2"
bdwn_age4_estat,character,93101,100,"30-54, 16-29"
bdwn_migrant,character,47440,51,"Native, 2nd generation, 2nd or 1st generation, 1st generation"
bdwn_country_code,character,93101,100,"FI, IT, LU, ES, EL"
bdwn_NACE0_lbl,character,47234,50.7,"Public administration, Other services, Education, Construction, Transport"
bdwn_ISCO_1,numeric,47143,50.6,"1, 2, 3, 4, 5"
bdwn_wpsize4,numeric,56945,61.2,"2, 3, 4, 1"
bdwn_wstatus,character,58544,62.9,"4. Employee: indefinite, 3. Employee: fixed, apprentice or temporary agency, 5. Employee: other and no contract, 2. Selfemployed: with employees, 1. Selfemployed: own account"
bdwn_number_jobs,character,76145,81.8,"1. One job, 2. More than one job"
bdwn_seniority_4cats,numeric,85354,91.7,"4, 1, 3, 2"
bdwn_hh_lifecourse,character,11467,12.3,"6a. Cohabiting with young children, respondent age <55, 2. Lone person age 30-54, 4. Cohabiting w/out children, respondent age 30-54, 3. Cohabiting w/out children, respondent age <30, 5. Lone person with child(ren)"
bdwn_hhsize_cat,numeric,92952,99.8,"3, 4, 2, 1, 5"
bdwn_supervisory_role,character,61148,65.7,"2. Supervising up to 10 staff, 1. Not a supervisor, 3. Supervising over 10 staff"
bdwn_wpsize3,numeric,74216,79.7,"3, 2, 1"
bdwn_parttime_trend,character,50160,53.9,"Full time, Part time"
bdwn_usual_hours_main_6cat,numeric,91351,98.1,"4, 6, 2, 5, 1"
bdwn_usual_hours_tot_6cat,numeric,74901,80.5,"4, 6, 2, 5, 1"
bdwn_supervisory_ESEC,character,61148,65.7,"2. Supervisor, 1. Not a supervisor"
bdwn_ESEG,numeric,46949,50.4,"11, 3, 6, 8, 1"
bdwn_edu3,character,29706,31.9,"5+ high, 3-4 mid, 0-2 low"
design_weight,numeric,12158,13.1,"10165.1961822661, 775.651739457791, 922.278090611804, 742.63236864504, 599.204902127389"
calweight,numeric,93101,100,"0.594168779934073, 0.167897013201327, 29926.4537053099, 0.0320560125263189, 0.377322797137941"
wq,numeric,35373,38,"82.8297348022461, 67.9140396118164, 31.9765396118164, 87.5172348022461, 71.5598678588867"
goodsoc,numeric,16544,17.8,"93.0555572509766, 100, 31.25, 96.5277786254883, 21.5277786254883"
envsec,numeric,51674,55.5,"87.1794891357422, 91.0256423950195, 53.8461532592773, 100, 76.9230804443359"
intens,numeric,17589,18.9,"45, 34.4444427490234, 22.4074077606201, 68.3333435058594, 51.6666641235352"
prosp,numeric,17603,18.9,"75, 100, 81.25, 93.75, 87.5"
wlb,numeric,17642,18.9,"81.34375, 67.9642868041992, 75.125, 28.7600002288818, 58.8537521362305"
y05_q1a,character,43850,47.1,"1, 2, 9, 8"
age_num,numeric,93101,100,"34, 40, 42, 19, 31"
birth_year,numeric,93101,100,"1981, 1970, 1982, 1991, 1975"
sex,character,93077,100,"Male, Female"
empl_status,character,84864,91.2,"Employee, Self-employed"
potential_experience,numeric,93101,100,"16, 22, 24, 1, 13"
age_band,factor,93101,100,"30-34, 40-45, 18-24, 35-39, 25-29"
treatment_age,logical,93101,100,"FALSE, TRUE"
outcome_age,logical,93101,100,"TRUE, FALSE"
native_citizenship,logical,38777,41.7,"TRUE, FALSE"
native_born_all,logical,47447,51,"TRUE, FALSE"
native_born_resp,logical,29750,32,"TRUE, FALSE"
native_best,logical,86217,92.6,"TRUE, FALSE"
calweight_raw,numeric,93101,100,"0.594168779934073, 0.167897013201327, 29926.4537053099, 0.0320560125263189, 0.377322797137941"
avg_ur_std_18_24_long,numeric,70287,75.5,"0.528104613927684, 0.417209130118882, 0.0159564769468781, 1.07330141323821, -0.479095543830988"
avg_ur_std_18_25_long,numeric,70287,75.5,"0.474197087076183, 0.657482678371285, -0.133103611865207, 0.932913948085509, -0.441625118476479"
avg_ur_std_18_24_wide,numeric,57457,61.7,"0.0227008962467991, -0.36730044784698, 0.666175768960231, 0.905154624328906, 1.06228360821771"
avg_ur_std_18_25_wide,numeric,57457,61.7,"-0.0429188819666041, -0.524972880525917, 0.734395311180886, 0.736082314359384, 1.12117282836869"
avg_ur_std_18_24_full,numeric,93101,100,"0.0227008962467991, -0.112288361792202, -0.36730044784698, 0.666175768960231, 0.905154624328906"
avg_ur_std_18_25_full,numeric,93101,100,"-0.0429188819666041, 0.180188363958967, -0.524972880525917, 0.734395311180886, 0.736082314359384"
calweight_norm,numeric,93101,100,"0.518426842809576, 0.132811923261851, 3.63198487154728, 0.0253573342047561, 0.329223400903032"
